[89.223, 159.969, 1.0]
[89.277, 159.967, 0.0]
[89.277, 159.967, 0.0]
[89.223, 159.969, 1.0]
[89.239, 159.944, 0.0]
[89.223, 159.969, 1.0]
[89.201, 159.919, 0.0]
[89.239, 159.944, 0.0]
[89.184, 159.944, 1.0]
[89.201, 159.919, 0.0]
[89.223, 159.969, 1.0]
[89.184, 159.944, 1.0]
[89.147, 159.917, 1.0]
[89.201, 159.919, 0.0]
[89.201, 159.919, 0.0]
[89.147, 159.917, 1.0]
[89.165, 159.893, 0.0]
[89.147, 159.917, 1.0]
[89.111, 159.888, 1.0]
[89.165, 159.893, 0.0]
[89.165, 159.893, 0.0]
[89.111, 159.888, 1.0]
[89.13, 159.865, 0.0]
[89.111, 159.888, 1.0]
[89.076, 159.857, 1.0]
[89.13, 159.865, 0.0]
[89.13, 159.865, 0.0]
[89.076, 159.857, 1.0]
[89.097, 159.835, 0.0]
[89.076, 159.857, 1.0]
[89.065, 159.804, 0.0]
[89.097, 159.835, 0.0]
[89.043, 159.825, 1.0]
[89.065, 159.804, 0.0]
[89.076, 159.857, 1.0]
[89.043, 159.825, 1.0]
[89.034, 159.772, 0.0]
[89.065, 159.804, 0.0]
[89.011, 159.792, 1.0]
[89.034, 159.772, 0.0]
[89.043, 159.825, 1.0]
[89.011, 159.792, 1.0]
[88.982, 159.757, 1.0]
[89.034, 159.772, 0.0]
[89.034, 159.772, 0.0]
[88.982, 159.757, 1.0]
[89.005, 159.738, 0.0]
[88.982, 159.757, 1.0]
[88.977, 159.703, 0.0]
[89.005, 159.738, 0.0]
[88.953, 159.721, 1.0]
[88.977, 159.703, 0.0]
[88.982, 159.757, 1.0]
[88.953, 159.721, 1.0]
[88.926, 159.683, 1.0]
[88.977, 159.703, 0.0]
[88.977, 159.703, 0.0]
[88.926, 159.683, 1.0]
[88.951, 159.666, 0.0]
[88.926, 159.683, 1.0]
[88.926, 159.629, 0.0]
[88.951, 159.666, 0.0]
[88.9, 159.645, 1.0]
[88.926, 159.629, 0.0]
[88.926, 159.683, 1.0]
[88.9, 159.645, 1.0]
[88.855, 159.565, 1.0]
[88.926, 159.629, 0.0]
[88.926, 159.629, 0.0]
[88.855, 159.565, 1.0]
[88.882, 159.551, 0.0]
[88.855, 159.565, 1.0]
[88.863, 159.511, 0.0]
[88.882, 159.551, 0.0]
[88.855, 159.565, 1.0]
[88.835, 159.523, 1.0]
[88.863, 159.511, 0.0]
[88.863, 159.511, 0.0]
[88.835, 159.523, 1.0]
[88.818, 159.48, 1.0]
[88.863, 159.511, 0.0]
[88.818, 159.48, 1.0]
[88.846, 159.469, 0.0]
[88.818, 159.48, 1.0]
[88.83, 159.428, 0.0]
[88.846, 159.469, 0.0]
[88.818, 159.48, 1.0]
[88.802, 159.438, 1.0]
[88.83, 159.428, 0.0]
[88.802, 159.438, 1.0]
[88.816, 159.385, 0.0]
[88.83, 159.428, 0.0]
[88.802, 159.438, 1.0]
[88.787, 159.393, 1.0]
[88.816, 159.385, 0.0]
